episode,first_aired,entrepreneur(s),company_or_product_name,money_requested_converted_$,stake_in_%_sold,description_of_product,investing_dragon(s),fate,season
 1,4 January 2005,Charles Ejogo,Umbrolly,197020,40,Multimedia vending unit selling umbrellas and adverts,Duncan Bannatyne & Peter Jones, dissolved ,1
 2,11 January 2005,Tracey Ann Graily,Grails Ltd,157616,40,Tailor-made suits for businesswomen,Doug Richard & Rachel Elnaugh, dissolved ,1
 3,18 January 2005,Tracie Herrtage,LE BEANOCK.COM,70927,49,A beanbag hammock,Rachel Elnaugh," no equity, active ",1
 3,18 January 2005,John and Phillip Petty,"IV Cam, Industrial Control Systems",65673,30,A 3D measuring system using camera technology,Peter Jones & Doug Richard," no equity, active ",1
 4,25 January 2005,Paul Thomas,Mycorrhizal Systems,98510,25,Land for a truffle farm,Simon Woodroffe," deal failed, active ",1
 5,1 February 2005,Elizabeth Galton,Elizabeth Galton Ltd,144482,30,Custom-made jewellery,Duncan Bannatyne & Rachel Elnaugh, dissolved ,1
 6,8 February 2005,Nik Rawcliff,Snowbone,98510,33.3,Handle attachment for snowboards,Rachel Elnaugh," deal failed, active ",1
 6,8 February 2005,Huw Gwyther,Visual Talent Ltd,229857,40,Wonderland,Peter Jones, active ,1
 1,15 November 2005,Dominic Killinger,Square Mile,197020,40,Wireless broadband supplier to UK marinas,Theo Paphitis & Peter Jones,"Sold to BT for £150,000 ",2
 2,22 November 2005,Danny Bamping,Bedlam Puzzles,131347,30,3-D puzzles,Rachel Elnaugh & Theo Paphitis," deal failed, dissolved ",2
 3,29 November 2005,Julie White,Truly Madly Baby,98510,45,"Baby products, via party evenings and web",Peter Jones," deal failed, dissolved ",2
 5,13 December 2005,Paul Cockle,The Generating Company,210155,40,Contemporary circus shows,Peter Jones & Theo Paphitis,active,2
 6,20 December 2005,David Lees,Mode Al,295531,50,Custom furniture to house technology,Theo Paphitis & Duncan Bannatyne,active,2
 1,3 August 2006,James Seddon,Eggxactly,98510,,Water-free egg cooker,Richard Farleigh & Peter Jones,active,3
 2,10 August 2006,Gary Taylor,Alpine Cleaning,262694,,Franchised HGV cleaning service,Deborah Meaden & Theo Paphitis,active,3
 3,17 August 2006,Matthew Hazell,First Light Solutions,131347,30,A sonar-based man-overboard detection system,Richard Farleigh, dissolved ,3
 4,24 August 2006,Ian Chamings,MixAlbum,197020,,Dance download site with digital mixing software,Deborah Meaden & Theo Paphitis,active,3
 5,31 August 2006,Richard Lee,Dr Cap,197020,50,Chain of shops selling baseball caps,Duncan Bannatyne," deal failed, active ",3
 6,7 September 2006,Stephen Bellis,Nuts Poker League,65673,40,Pub-based tournament poker league,Theo Paphitis & Deborah Meaden,active,3
 7,14 September 2006,Peter Sesay,Autosafe,131347,50,A seat-belt height adjuster,Peter Jones & Duncan Bannatyne,dissolved ,3
 8,21 September 2006,Ian Daintith & Richard Adams,Coin Metrics,262694,,Technology to monitor cash operations for slot machines,Deborah Meaden & Theo Paphitis,active,3
 1,7 February 2007,Levi Roots,Reggae Reggae Sauce,65673,,Spicy BBQ sauce,Richard Farleigh & Peter Jones,active,4
 1,7 February 2007,Anthony Coates-Smith & Alistair Turner,Igloo,210155,22.5,Specialist chilled and frozen transport services,Duncan Bannatyne & Richard Farleigh, dissolved ,4
 2,14 February 2007,Imran Hakim,iTeddy,183886,,Classic teddy bear with integrated media technology,Peter Jones & Theo Paphitis,active,4
 3,21 February 2007,Roger Hind,Rotamate,111645,40,A clothes airer that protects washing from the rain,Deborah Meaden & Richard Farleigh, new company ,4
 3,21 February 2007,Denise Hutton,Razzamataz Theatre Schools,65673,25,"A chain of dance, drama and singing schools for children.",Duncan Bannatyne, active ,4
 4,28 February 2007,Christian Lane,Foldio,105078,35,Stationery folder that halves size of paper without creasing,Theo Paphitis, dissolved ,4
 4,28 February 2007,Casey Jones,Sanitizing unit for footwear etc.,131347,50,Sanitiser that kills bacteria within shoes,Deborah Meaden & Richard Farleigh, deal failed,4
 5,7 March 2007,Chris Haines,Safe-T-First,124780,,Emergency light,Deborah Meaden & Theo Paphitis,active,4
 5,7 March 2007,David Pybus,Scents of Time,105078,,Perfumes from historical times which are re-created for today,Peter Jones & Theo Paphitis,active,4
 6,7 March 2007,Peter Ensinger and David Baker,Standby Saver,131347,50,Device that cuts off electric current to home appliances on stand-by,All five dragons," deal failed, dissolved ",4
 1,21 July 2008,Jamie Turner,Hamfatter,98510,,A music band,Peter Jones,active,6
 1,21 July 2008,Julia Charles,D4M Ltd,98510,,Events management company,Duncan Bannatyne & James Caan,active,6
 2,28 July 2008,Victoria McGrane,Neurotica,73554,35,Fashion designer,Peter Jones,dissolved ,6
 3,4 August 2008,Ming Yun,Light Emotions,52539,,Glow in the dark products,Peter Jones,active,6
 3,4 August 2008,Michael Cotton,DDN Ltd,328367,,Misfuelling prevention device,Theo Paphitis & Deborah Meaden, deal failed,6
 4,11 August 2008,Charlotte Evans & Caroyln Jarvis,Buggy Boot,105078,,Storage solution for pushchairs,Deborah Meaden,active,6
 4,11 August 2008,Andrew Harsley,Rapstrap,197020,,Waste-free cable-tie,Duncan Bannatyne & James Caan,active,6
 5,18 August 2008,Neil and Laura Westwood,Magic Whiteboard,131347,40,Portable whiteboard in the form of a roll,Theo Paphitis and Deborah Meaden, active ,6
 5,18 August 2008,Guy Unwin & Caroline Kavanagh,Planit Products,262694,,Toastabags,James Caan,active,6
 6,25 August 2008,Guy Portelli,Guy Portelli Sculpture Studio,91943,,Collection of 18 sculptures,"James Caan, Peter Jones & Theo Paphitis",active,6
 6,25 August 2008,Raymond Smith,Magic Pizza,65673,,Device designed to eliminate a 'soggy middle',Theo Paphitis & Peter Jones,active,6
 7,1 September 2008,"Dominic Lawrence, Simeone Salik & Janice Dalton",Blindsinabox,52539,,"Temporary, easy-to-install blinds",Duncan Bannatyne & James Caan,active,6
 7,1 September 2008,Christian Richardson,Tiny Box,69614,,Unique recycled packaging company,Theo Paphitis & Peter Jones,active,6
 8,8 September 2008,Paul Tinton,ProWaste Management Services,262694,,Construction waste recycling service,Duncan Bannatyne & Deborah Meaden,active,6
